location,price,bill_of_sale,mortgage,repair,area_m2,number_of_room,floor,price_per_m2
Nərimanov r.,215000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,76.0,2,9,2262.3388868301045
Nəriman Nərimanov m.,330000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,118.0,3,4,2350.35568779757
Nəriman Nərimanov m.,270000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,96.0,3,14,2350.35568779757
28 May m.,250000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,93.0,2,7,2292.720682644982
Nəriman Nərimanov m.,270000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,100.0,3,14,2350.35568779757
Nərimanov r.,132500,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,78.8,2,8,2262.3388868301045
Nərimanov r.,194800,Çıxarış var,İpoteka var,Təmirli,90.0,2,7,2262.3388868301045
Nəriman Nərimanov m.,139000,Çıxarış var,İpoteka var,Təmirli,74.0,2,17,2350.35568779757
Nərimanov r.,159000,Çıxarış var,Ipoteka yoxdur,Təmirli,55.5,2,5,2262.3388868301045
Nərimanov r.,279000,Çıxarış var,İpoteka var,Təmirli,116.6,3,16,2262.3388868301045
8 Noyabr m.,270000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,150.0,4,8,2189.8477742287632
Nəriman Nərimanov m.,310000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,110.0,3,15,2350.35568779757
Nərimanov r.,190000,Çıxarış var,Ipoteka yoxdur,Təmirli,87.0,2,17,2262.3388868301045
Nərimanov r.,190000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,108.0,2,15,2262.3388868301045
Nəriman Nərimanov m.,215000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,86.6,2,10,2350.35568779757
Nərimanov r.,195000,Çıxarış var,İpoteka var,Təmirli,87.0,2,17,2262.3388868301045
Nəriman Nərimanov m.,262000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,105.0,3,11,2350.35568779757
Nəriman Nərimanov m.,155000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,74.0,2,7,2350.35568779757
Nərimanov r.,340000,Çıxarış var,Ipoteka yoxdur,Təmirsiz,212.0,4,8,2262.3388868301045
Gənclik m.,340000,Çıxarış var,İpoteka var,Təmirli,107.0,3,7,2404.484840820714
Nəriman Nərimanov m.,336000,Çıxarış var,İpoteka var,Təmirsiz,210.0,4,8,2350.35568779757
Nərimanov r.,220000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,85.0,3,8,2262.3388868301045
